2018-11-01 15:50:06.096 -04:00 [INF] Dynamic builder starting up...
2018-11-01 15:50:07.760 -04:00 [INF] User profile is available. Using 'C:\Users\Justin\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
2018-11-01 15:50:08.074 -04:00 [INF] Queued Hosted Service is starting.
2018-11-01 15:50:08.375 -04:00 [INF] Request starting HTTP/1.1 GET http://localhost:50895/  
2018-11-01 15:50:08.375 -04:00 [INF] Request starting HTTP/1.1 DEBUG http://localhost:50895/  0
2018-11-01 15:50:08.398 -04:00 [INF] Request finished in 22.6631ms 200 
2018-11-01 15:50:08.594 -04:00 [INF] Request finished in 221.2278ms 404 
2018-11-01 15:50:17.312 -04:00 [DBG] Added App ID 921870
2018-11-01 15:50:17.329 -04:00 [DBG] Added App ID 921010
2018-11-01 15:50:17.349 -04:00 [DBG] Added App ID 921120
2018-11-01 15:50:17.360 -04:00 [DBG] Added App ID 921130
2018-11-01 15:50:17.370 -04:00 [DBG] Added App ID 921140
2018-11-01 15:50:17.385 -04:00 [DBG] Added App ID 921290
2018-11-01 15:50:17.396 -04:00 [DBG] Added App ID 921300
2018-11-01 15:50:17.409 -04:00 [DBG] Added App ID 921360
2018-11-01 15:50:17.420 -04:00 [DBG] Added App ID 921370
2018-11-01 15:50:17.435 -04:00 [DBG] Added App ID 921410
2018-11-01 15:50:17.447 -04:00 [DBG] Added App ID 921460
2018-11-01 15:50:17.460 -04:00 [DBG] Added App ID 920730
2018-11-01 15:50:17.476 -04:00 [DBG] Added App ID 920840
2018-11-01 15:50:17.488 -04:00 [DBG] Added App ID 920870
2018-11-01 15:50:17.500 -04:00 [DBG] Added App ID 920880
2018-11-01 15:50:17.511 -04:00 [DBG] Added App ID 920890
2018-11-01 15:50:17.529 -04:00 [DBG] Added App ID 920891
2018-11-01 15:50:17.540 -04:00 [DBG] Added App ID 920892
2018-11-01 15:50:17.551 -04:00 [DBG] Added App ID 920893
2018-11-01 15:50:17.564 -04:00 [DBG] Added App ID 920894
2018-11-01 15:50:17.575 -04:00 [DBG] Added App ID 920895
2018-11-01 15:50:17.586 -04:00 [DBG] Added App ID 920896
2018-11-01 15:50:17.600 -04:00 [DBG] Added App ID 920897
2018-11-01 15:50:17.613 -04:00 [DBG] Added App ID 920898
2018-11-01 15:50:17.623 -04:00 [DBG] Added App ID 920899
2018-11-01 15:50:17.635 -04:00 [DBG] Added App ID 920900
2018-11-01 15:50:17.645 -04:00 [DBG] Added App ID 920901
2018-11-01 15:50:17.656 -04:00 [DBG] Added App ID 920930
2018-11-01 15:50:17.668 -04:00 [DBG] Added App ID 920931
2018-11-01 15:50:17.679 -04:00 [DBG] Added App ID 920932
2018-11-01 15:50:17.690 -04:00 [DBG] Added App ID 920933
